央视频道,#genre#
广西卫视,http://171.213.168.2:9999/rtp/239.93.42.46:5140
广西卫视,http://114.226.141.28:4022/rtp/239.49.8.10:8000
东南卫视,http://171.213.162.46:20000/rtp/239.93.0.42:5140
东南卫视,http://171.213.168.2:9999/rtp/239.93.0.42:5140
东南卫视,http://114.226.141.28:4022/rtp/239.49.8.112:8000
海南卫视,http://114.226.141.28:4022/rtp/239.49.8.83:8000
河北卫视,http://171.213.162.46:20000/rtp/239.93.0.132:5140
河北卫视,http://171.213.168.2:9999/rtp/239.93.0.132:5140
河北卫视,http://114.226.141.28:4022/rtp/239.49.8.114:8000
河南卫视,http://171.213.162.46:20000/rtp/239.93.42.45:5140
河南卫视,http://171.213.162.46:20000/rtp/239.93.1.113:5140
河南卫视,http://171.213.168.2:9999/rtp/239.93.42.45:5140
河南卫视,http://171.213.168.2:9999/rtp/239.93.1.113:5140
河南卫视,http://114.226.141.28:4022/rtp/239.49.8.29:8000
湖北卫视,http://171.213.162.46:20000/rtp/239.93.0.250:5140
湖北卫视,http://171.213.168.2:9999/rtp/239.93.0.250:5140
湖北卫视,http://114.226.141.28:4022/rtp/239.49.8.8:9632
江西卫视,http://171.213.162.46:20000/rtp/239.93.0.134:5140
江西卫视,http://171.213.168.2:9999/rtp/239.93.0.134:5140
江西卫视,http://114.226.141.28:4022/rtp/239.49.8.111:8000
四川卫视,http://171.213.162.46:20000/rtp/239.93.0.169:5140
四川卫视,http://171.213.168.2:9999/rtp/239.93.0.169:5140
四川卫视,http://114.226.141.28:4022/rtp/239.49.8.110:8000
重庆卫视,http://171.213.162.46:20000/rtp/239.93.1.107:5140
重庆卫视,http://171.213.168.2:9999/rtp/239.93.1.107:5140
重庆卫视,http://114.226.141.28:4022/rtp/239.49.8.57:9830
贵州卫视,http://171.213.162.46:20000/rtp/239.93.0.131:5140
贵州卫视,http://171.213.168.2:9999/rtp/239.93.0.131:5140
贵州卫视,http://114.226.141.28:4022/rtp/239.49.8.49:8000
云南卫视,http://171.213.162.46:20000/rtp/239.93.1.174:5140
云南卫视,http://171.213.168.2:9999/rtp/239.93.1.174:5140
云南卫视,http://114.226.141.28:4022/rtp/239.49.0.177:8000
天津卫视,http://171.213.162.46:20000/rtp/239.93.0.167:5140
天津卫视,http://171.213.168.2:9999/rtp/239.93.0.167:5140
天津卫视,http://114.226.141.28:4022/rtp/239.49.8.35:8620
安徽卫视,http://171.213.162.46:20000/rtp/239.93.1.106:5140
安徽卫视,http://171.213.168.2:9999/rtp/239.93.1.106:5140
安徽卫视,http://114.226.141.28:4022/rtp/239.49.8.80:8000
山东卫视,http://171.213.162.46:20000/rtp/239.93.0.168:5140
山东卫视,http://171.213.168.2:9999/rtp/239.93.0.168:5140
山东卫视,http://114.226.141.28:4022/rtp/239.49.8.7:9306
辽宁卫视,http://114.226.141.28:4022/rtp/239.49.8.48:8000
黑龙江卫视,http://171.213.162.46:20000/rtp/239.93.0.183:5140
黑龙江卫视,http://171.213.168.2:9999/rtp/239.93.0.183:5140
黑龙江卫视,http://114.226.141.28:4022/rtp/239.49.8.14:9426
吉林卫视,http://171.213.162.46:20000/rtp/239.93.0.248:5140
吉林卫视,http://171.213.168.2:9999/rtp/239.93.0.248:5140
吉林卫视,http://114.226.141.28:4022/rtp/239.49.8.113:8000
陕西卫视,http://171.213.162.46:20000/rtp/239.93.0.143:5140
陕西卫视,http://171.213.168.2:9999/rtp/239.93.0.143:5140
甘肃卫视,http://171.213.162.46:20000/rtp/239.93.0.81:5140
甘肃卫视,http://171.213.168.2:9999/rtp/239.93.0.81:5140
三沙卫视,http://114.226.141.28:4022/rtp/239.49.0.167:8000
康巴卫视,http://171.213.162.46:20000/rtp/239.93.0.41:5140
康巴卫视,http://171.213.168.2:9999/rtp/239.93.0.41:5140
山东教育卫视,http://114.226.141.28:4022/rtp/239.49.0.235:8000
中国教育1台,http://171.213.162.46:20000/rtp/239.93.1.111:5140
中国教育1台,http://171.213.168.2:9999/rtp/239.93.1.111:5140
中国教育1台,http://114.226.141.28:4022/rtp/239.49.8.115:8000
中国教育2台,http://171.213.162.46:20000/rtp/239.93.0.113:5140
中国教育2台,http://171.213.168.2:9999/rtp/239.93.0.113:5140
中国教育4台,http://114.226.141.28:4022/rtp/239.49.0.125:8000

数字频道,#genre#
凤凰卫视中文台,http://171.213.162.46:20000/rtp/239.93.0.162:2192
凤凰卫视中文台,http://171.213.168.2:9999/rtp/239.93.0.162:2192
凤凰卫视资讯台,http://171.213.162.46:20000/rtp/239.93.0.118:2191
凤凰卫视资讯台,http://171.213.168.2:9999/rtp/239.93.0.118:2191
求索纪录,http://171.213.162.46:20000/rtp/239.93.42.24:5140
求索纪录,http://171.213.168.2:9999/rtp/239.93.42.24:5140
金鹰纪实,http://171.213.162.46:20000/rtp/239.93.0.130:5140
金鹰纪实,http://171.213.168.2:9999/rtp/239.93.0.130:5140
金鹰纪实,http://114.226.141.28:4022/rtp/239.49.8.79:8000
纪实科教,http://171.213.162.46:20000/rtp/239.93.0.141:5140
纪实科教,http://171.213.168.2:9999/rtp/239.93.0.141:5140
天元围棋,http://171.213.162.46:20000/rtp/239.93.42.55:5140
天元围棋,http://171.213.168.2:9999/rtp/239.93.42.55:5140
梨园频道,http://171.213.162.46:20000/rtp/239.93.1.195:5140
梨园频道,http://171.213.168.2:9999/rtp/239.93.1.195:5140
梨园频道,http://114.226.141.28:4022/rtp/239.49.8.193:8000
文物宝库,http://114.226.141.28:4022/rtp/239.49.0.209:8000
武术世界,http://114.226.141.28:4022/rtp/239.49.0.205:8000
都市剧场,http://171.213.162.46:20000/rtp/239.93.42.30:5140
都市剧场,http://171.213.168.2:9999/rtp/239.93.42.30:5140
金鹰卡通,http://114.226.141.28:4022/rtp/239.49.8.33:8000
优漫卡通,http://171.213.162.46:20000/rtp/239.93.0.251:5140
优漫卡通,http://171.213.168.2:9999/rtp/239.93.0.251:5140
优漫卡通,http://114.226.141.28:4022/rtp/239.49.8.119:8000
哈哈炫动,http://171.213.162.46:20000/rtp/239.93.0.173:5140
哈哈炫动,http://171.213.168.2:9999/rtp/239.93.0.173:5140
嘉佳卡通,http://171.213.162.46:20000/rtp/239.93.0.246:5140
嘉佳卡通,http://171.213.168.2:9999/rtp/239.93.0.246:5140
iHOT爱喜剧,http://171.213.162.46:20000/rtp/239.93.42.9:5140
iHOT爱喜剧,http://171.213.168.2:9999/rtp/239.93.42.9:5140
iHOT爱科幻,http://171.213.162.46:20000/rtp/239.93.42.10:5140
iHOT爱科幻,http://171.213.168.2:9999/rtp/239.93.42.10:5140
iHOT爱院线,http://171.213.162.46:20000/rtp/239.93.42.11:5140
iHOT爱院线,http://171.213.168.2:9999/rtp/239.93.42.11:5140
iHOT爱悬疑,http://171.213.162.46:20000/rtp/239.93.42.12:5140
iHOT爱悬疑,http://171.213.168.2:9999/rtp/239.93.42.12:5140
iHOT爱谍战,http://171.213.162.46:20000/rtp/239.93.42.14:5140
iHOT爱谍战,http://171.213.168.2:9999/rtp/239.93.42.14:5140
iHOT爱幼教,http://171.213.162.46:20000/rtp/239.93.42.17:5140
iHOT爱幼教,http://171.213.168.2:9999/rtp/239.93.42.17:5140
iHOT爱玩具,http://171.213.162.46:20000/rtp/239.93.42.18:5140
iHOT爱玩具,http://171.213.168.2:9999/rtp/239.93.42.18:5140
iHOT爱赛车,http://171.213.162.46:20000/rtp/239.93.42.20:5140
iHOT爱赛车,http://171.213.168.2:9999/rtp/239.93.42.20:5140
iHOT爱奇谈,http://171.213.162.46:20000/rtp/239.93.42.22:5140
iHOT爱奇谈,http://171.213.168.2:9999/rtp/239.93.42.22:5140
iHOT爱动漫,http://171.213.162.46:20000/rtp/239.93.42.23:5140
iHOT爱动漫,http://171.213.168.2:9999/rtp/239.93.42.23:5140

